Category,App_Count,Avg_Installs,Median_Installs,Total_Installs,Avg_Rating,Percent_Paid,Avg_Saturation_Index,Avg_App_Age,Market_Share
ART_AND_DESIGN,64,1786532.81,100000.0,114338100,4.36,4.69,0.29,122.52,0.14303272707525627
AUTO_AND_VEHICLES,85,625061.31,100000.0,53130211,4.21,3.53,0.33,109.67,0.06646392558048261
BEAUTY,53,513151.89,50000.0,27197050,4.28,0.0,0.3,147.51,0.03402250194731326
BOOKS_AND_REFERENCE,222,7504367.46,10000.0,1665969576,4.38,12.61,0.34,423.79,2.08406621834444
BUSINESS,420,1659916.35,1000.0,697164865,4.14,2.86,0.42,299.98,0.8721274173875802
COMICS,56,803234.82,100000.0,44981150,4.19,0.0,0.3,112.93,0.05626975217780568
COMMUNICATION,316,34934418.52,100000.0,11039276251,4.14,8.54,0.33,291.29,13.809725604305486
DATING,171,824129.28,10000.0,140926107,4.0,3.51,0.38,71.02,0.17629333879353742
EDUCATION,119,2965983.19,1000000.0,352952000,4.36,3.36,0.32,250.13,0.4415298757515286
ENTERTAINMENT,102,20722156.86,1000000.0,2113660000,4.14,1.96,0.28,89.91,2.644110352628618
EVENTS,64,249580.64,1000.0,15973161,4.45,1.56,0.34,125.44,0.019981832633585196
FAMILY,1906,4661918.94,100000.0,8885617505,4.2,9.55,0.49,324.58,11.115578302313791
FINANCE,339,1343025.76,10000.0,455285734,4.14,3.24,0.41,167.09,0.5695455857013517
FOOD_AND_DRINK,112,1891060.28,300000.0,211798751,4.19,1.79,0.33,103.01,0.26495239073120125
GAME,960,14509296.27,1000000.0,13928924415,4.25,8.54,0.42,323.73,17.42456840110662
HEALTH_AND_FITNESS,288,3972300.39,100000.0,1144022512,4.28,5.21,0.37,184.27,1.4311297784976755
HOUSE_AND_HOME,74,1313681.91,500000.0,97212461,4.16,0.0,0.31,223.31,0.12160918716094629
LIBRARIES_AND_DEMO,84,630903.69,10000.0,52995910,4.18,1.19,0.33,441.26,0.06629592000509756
LIFESTYLE,362,1391413.09,10000.0,503691539,4.12,3.31,0.42,305.48,0.6300994544067358
MAPS_AND_NAVIGATION,131,3841846.49,100000.0,503281890,4.05,3.82,0.32,197.42,0.6295869986845081
MEDICAL,396,98972.67,1000.0,39193177,4.2,20.96,0.52,286.24,0.049029212388986804
NEWS_AND_MAGAZINES,254,9327628.98,50000.0,2369217760,4.14,0.79,0.35,189.85,2.963803642424791
PARENTING,60,525351.83,100000.0,31521110,4.32,3.33,0.31,114.6,0.03943174080852429
PERSONALIZATION,376,4075783.99,10000.0,1532494782,4.35,21.54,0.39,428.82,1.917094196055911
PHOTOGRAPHY,281,16545009.45,1000000.0,4649147655,4.17,6.76,0.34,271.62,5.815911473692345
PRODUCTIVITY,374,15489549.11,100000.0,5793091369,4.21,7.49,0.36,302.05,7.2469426788113465
SHOPPING,202,6932419.73,1000000.0,1400348785,4.24,0.99,0.34,130.02,1.7517844495847992
SOCIAL,239,22961790.38,100000.0,5487867902,4.26,1.26,0.32,225.19,6.865119429584935
SPORTS,327,3964753.82,100000.0,1296474498,4.23,7.34,0.38,217.82,1.6218415649067448
TOOLS,829,9774151.89,50000.0,8102771915,4.06,9.41,0.42,348.7,10.136267472270804
TRAVEL_AND_LOCAL,219,13218662.77,100000.0,2894887146,4.09,5.48,0.33,206.59,3.621396569188097
VIDEO_PLAYERS,164,23975016.59,1000000.0,3931902720,4.06,2.44,0.3,309.63,4.918664632665907
WEATHER,79,4570892.66,1000000.0,361100520,4.25,10.13,0.29,268.77,0.4517233723832486
