Category,Optimal Price,Success Score,Sample Size
FAMILY,6.99,1.5467605552888866,1.0
GAME,5.99,0.9618569613701766,1.0
TOOLS,3.49,1.161147363696128,1.0
BUSINESS,4.99,0.7669376353448626,3.0
MEDICAL,9.0,0.5632761567182748,1.0
PERSONALIZATION,4.49,0.9618569613701766,1.0
PRODUCTIVITY,4.49,1.161147363696128,1.0
LIFESTYLE,5.99,1.2044855557264693,1.0
FINANCE,18.99,0.6195952056268458,1.0
SPORTS,29.99,0.36059736010806653,1.0
COMMUNICATION,2.9,0.5632761567182748,1.0
HEALTH_AND_FITNESS,3.49,0.7625665590442261,1.0
PHOTOGRAPHY,5.99,1.104840354563494,1.0
NEWS_AND_MAGAZINES,0.99,0.6162201874736639,1.0
SOCIAL,0.99,-0.4997924262458071,2.0
