Category,Price Elasticity
SOCIAL,-0.01010204081632653
PERSONALIZATION,-0.006722972972972973
NEWS_AND_MAGAZINES,-0.004772727272727271
COMMUNICATION,-0.004024193548387097
GAME,-0.0036263736263736257
TOOLS,-0.0035869565217391303
PRODUCTIVITY,-0.0033305369127516775
SPORTS,-0.003322147651006711
FAMILY,-0.0031879194630872474
PHOTOGRAPHY,-0.0028706896551724133
HEALTH_AND_FITNESS,-0.002816091954022988
BUSINESS,-0.001405622489959839
LIFESTYLE,-0.001004016064257028
FINANCE,-0.0003105590062111802
MEDICAL,0.0
