,Price,Price,Price,Price,Price
,mean,median,min,max,count
Category,,,,,
EVENTS,109.99,109.99,109.99,109.99,1
FINANCE,45.53545454545454,4.99,1.99,394.99,11
BUSINESS,14.6075,4.99,0.99,89.99,12
MEDICAL,11.996385542168674,4.99,0.99,200.0,83
PRODUCTIVITY,8.961785714285714,2.99,0.99,154.99,28
FAMILY,6.702582417582418,2.99,0.99,399.99,182
PHOTOGRAPHY,6.225263157894737,3.49,1.49,29.99,19
MAPS_AND_NAVIGATION,5.390000000000001,2.99,0.99,11.99,5
SOCIAL,5.323333333333333,0.99,0.99,13.99,3
PARENTING,4.79,4.79,4.59,4.99,2
DATING,4.573333333333333,3.99,1.49,7.99,6
AUTO_AND_VEHICLES,4.49,1.99,1.49,9.99,3
EDUCATION,4.49,3.99,3.99,5.99,4
HEALTH_AND_FITNESS,4.290000000000001,3.49,0.99,9.99,15
BOOKS_AND_REFERENCE,4.277500000000001,5.045,0.99,6.49,28
FOOD_AND_DRINK,4.24,4.24,3.49,4.99,2
SPORTS,4.166666666666667,2.99,0.99,29.99,24
TRAVEL_AND_LOCAL,4.1625000000000005,3.49,1.49,8.99,12
WEATHER,4.0525,3.49,1.99,6.99,8
ENTERTAINMENT,3.99,3.99,2.99,4.99,2
LIFESTYLE,3.5775,3.015,0.99,7.99,12
GAME,3.4671951219512196,2.74,0.99,17.99,82
TOOLS,3.426282051282051,2.77,0.99,25.99,78
COMMUNICATION,3.0792592592592594,2.49,0.99,19.99,27
SHOPPING,2.74,2.74,2.49,2.99,2
VIDEO_PLAYERS,2.615,1.74,0.99,5.99,4
NEWS_AND_MAGAZINES,1.9900000000000002,1.9900000000000002,0.99,2.99,2
ART_AND_DESIGN,1.99,1.99,1.99,1.99,3
PERSONALIZATION,1.8577777777777778,1.49,0.99,9.99,81
LIBRARIES_AND_DEMO,0.99,0.99,0.99,0.99,1
